stop_id;stop_name;stop_desc;coord;stop_lat;stop_lon;code_INSEE;departement
1974;Chevaleret;Vincent Auriol (terre-plein face au 79 boulevard) - 75113;48.8349649707, 2.36809134588;48.83496497071995;2.3680913458793973;75113;75
1967;Châtelet-Les Halles;Forum des Halles Centre G. Pompidou - 75101;48.8614637106, 2.3468441316;48.86146371055862;2.346844131603014;75101;75
1965;Châtelet;Victoria (7 avenue, 4 rue Saint-Martin) - 75101;48.8588572844, 2.34776985674;48.858857284381365;2.347769856742684;75101;75
1957;Gare du Nord;Rue du Faubourg St Denis - 75110;48.8797430642, 2.35460081047;48.87974306422535;2.3546008104722334;75110;75
1958;Gare du Nord;Rue du Faubourg St Denis - 75110;48.8793833026, 2.35637208136;48.87938330261579;2.356372081359306;75110;75
1947;Gabriel-Péri;Gare routière - 92004;48.916574836, 2.29432896469;48.916574835983226;2.2943289646870606;92004;92
1950;Gambetta;Père-Lachaise - 75120;48.8647827007, 2.39844583377;48.864782700687876;2.398445833771861;75120;75
1744;Porte de la Villette;Porte de la Villette (avenue de la, terminus PC) - 75119;48.8975291569, 2.38564423013;48.89752915689145;2.3856442301273044;75119;75
1728;Rue Saint-Maur;Servan (71 rue, rue Guillaume Bertrand) - 75111;48.8640894057, 2.38089978855;48.86408940574645;2.3808997885521195;75111;75
1745;Porte de Montreuil;Porte de Montreuil (4 avenue de la) - 75120;48.8533798778, 2.41045818742;48.85337987781381;2.4104581874163533;75120;75
1747;Porte de Saint-Cloud;Stade Pierre de Coubertin - 75116;48.8375653345, 2.25559127445;48.837565334473624;2.255591274447898;75116;75
1750;Porte de Versailles;Victor (73 boulevard) - 75115;48.8322534527, 2.28786413782;48.832253452749;2.287864137819189;75115;75
1766;République;Saint-Martin (9 boulevard) - 75111;48.8672579436, 2.36403730364;48.86725794359829;2.3640373036390545;75111;75
1755;Porte Maillot;Verdun (16 place de) - 75117;48.8780061763, 2.28246564;48.87800617627899;2.2824656400013326;75117;75
1723;Saint-Lazare;Saint-Lazare (95 rue) - 75108;48.8754209778, 2.32669527207;48.875420977789275;2.3266952720717047;75108;75
1724;Saint-Lazare;Saint-Lazare (95 rue) - 75108;48.8760678144, 2.32418810077;48.876067814352574;2.324188100771013;75108;75
1757;Pyramides;Rue de l'Echelle - 75101;48.866496987, 2.33409421526;48.86649698703855;2.334094215259097;75101;75
