# wavelength_nm, shifted_wavelength_nm, flux_Wm2nm1
2.775000000000000000e+02,3.316759390902942073e+02,2.338000000000000078e-01
2.785000000000000000e+02,3.328711676996285860e+02,1.592999999999999972e-01
2.795000000000000000e+02,3.340663963089630215e+02,8.555000000000000104e-02
2.805000000000000000e+02,3.352616249182974002e+02,9.463000000000000578e-02
2.815000000000000000e+02,3.364568535276317789e+02,2.083000000000000129e-01
2.825000000000000000e+02,3.376520821369661576e+02,2.940999999999999726e-01
2.835000000000000000e+02,3.388473107463005931e+02,3.135000000000000009e-01
2.845000000000000000e+02,3.400425393556349718e+02,2.353000000000000091e-01
2.855000000000000000e+02,3.412377679649693505e+02,1.630999999999999950e-01
2.865000000000000000e+02,3.424329965743037292e+02,3.226999999999999869e-01
2.875000000000000000e+02,3.436282251836381647e+02,3.362999999999999878e-01
2.885000000000000000e+02,3.448234537929725434e+02,3.221999999999999864e-01
2.895000000000000000e+02,3.460186824023069221e+02,4.727000000000000091e-01
2.905000000000000000e+02,3.472139110116413576e+02,6.012999999999999456e-01
2.915000000000000000e+02,3.484091396209757363e+02,5.807999999999999829e-01
2.925000000000000000e+02,3.496043682303101150e+02,5.219000000000000306e-01
2.935000000000000000e+02,3.507995968396444937e+02,5.354999999999999760e-01
2.945000000000000000e+02,3.519948254489789292e+02,5.088000000000000300e-01
2.955000000000000000e+02,3.531900540583133079e+02,5.532000000000000250e-01
2.965000000000000000e+02,3.543852826676476866e+02,5.096000000000000529e-01
2.975000000000000000e+02,3.555805112769820653e+02,5.072999999999999732e-01
2.985000000000000000e+02,3.567757398863165008e+02,4.655000000000000249e-01
2.995000000000000000e+02,3.579709684956508795e+02,4.839999999999999858e-01
3.005000000000000000e+02,3.591661971049852582e+02,4.199999999999999845e-01
3.015000000000000000e+02,3.603614257143196369e+02,4.555000000000000160e-01
3.025000000000000000e+02,3.615566543236540724e+02,4.889999999999999902e-01
3.035000000000000000e+02,3.627518829329884511e+02,6.206000000000000405e-01
3.045000000000000000e+02,3.639471115423228298e+02,6.025000000000000355e-01
3.055000000000000000e+02,3.651423401516572085e+02,5.947999999999999954e-01
3.065000000000000000e+02,3.663375687609916440e+02,5.556999999999999718e-01
3.075000000000000000e+02,3.675327973703260227e+02,6.149999999999999911e-01
3.085000000000000000e+02,3.687280259796604014e+02,6.114000000000000545e-01
3.095000000000000000e+02,3.699232545889948369e+02,4.964999999999999969e-01
3.105000000000000000e+02,3.711184831983292156e+02,6.223999999999999533e-01
3.115000000000000000e+02,3.723137118076635943e+02,7.291999999999999593e-01
3.125000000000000000e+02,3.735089404169979730e+02,6.559000000000000385e-01
3.135000000000000000e+02,3.747041690263324085e+02,6.998999999999999666e-01
3.145000000000000000e+02,3.758993976356667872e+02,6.629000000000000448e-01
3.155000000000000000e+02,3.770946262450011659e+02,6.330000000000000071e-01
3.165000000000000000e+02,3.782898548543355446e+02,6.331999999999999851e-01
3.175000000000000000e+02,3.794850834636699801e+02,7.739000000000000323e-01
3.185000000000000000e+02,3.806803120730043588e+02,6.649000000000000465e-01
3.195000000000000000e+02,3.818755406823387375e+02,7.105000000000000204e-01
3.205000000000000000e+02,3.830707692916731162e+02,8.051000000000000378e-01
3.215000000000000000e+02,3.842659979010075517e+02,6.995000000000000107e-01
3.225000000000000000e+02,3.854612265103419304e+02,6.885999999999999899e-01
3.235000000000000000e+02,3.866564551196763091e+02,6.612999999999999989e-01
3.245000000000000000e+02,3.878516837290106878e+02,7.608000000000000318e-01
3.255000000000000000e+02,3.890469123383451233e+02,8.758000000000000229e-01
3.265000000000000000e+02,3.902421409476795020e+02,9.795000000000000373e-01
3.275000000000000000e+02,3.914373695570138807e+02,9.526999999999999913e-01
3.285000000000000000e+02,3.926325981663482594e+02,9.175999999999999712e-01
3.295000000000000000e+02,3.938278267756826949e+02,1.060999999999999943e+00
3.305000000000000000e+02,3.950230553850170736e+02,1.016000000000000014e+00
3.315000000000000000e+02,3.962182839943514523e+02,9.657000000000000028e-01
3.325000000000000000e+02,3.974135126036858878e+02,9.548999999999999710e-01
3.335000000000000000e+02,3.986087412130202665e+02,9.215999999999999748e-01
3.345000000000000000e+02,3.998039698223546452e+02,9.588999999999999746e-01
3.355000000000000000e+02,4.009991984316890239e+02,9.434000000000000163e-01
3.365000000000000000e+02,4.021944270410234594e+02,8.094999999999999973e-01
3.375000000000000000e+02,4.033896556503578381e+02,8.417999999999999927e-01
3.385000000000000000e+02,4.045848842596922168e+02,9.214999999999999858e-01
3.395000000000000000e+02,4.057801128690265955e+02,9.580999999999999517e-01
3.405000000000000000e+02,4.069753414783610310e+02,1.006999999999999895e+00
3.415000000000000000e+02,4.081705700876954097e+02,9.237999999999999545e-01
3.425000000000000000e+02,4.093657986970297884e+02,9.929999999999999938e-01
3.435000000000000000e+02,4.105610273063641671e+02,9.506000000000000005e-01
3.445000000000000000e+02,4.117562559156986026e+02,7.956999999999999629e-01
3.455000000000000000e+02,4.129514845250329813e+02,9.392000000000000348e-01
3.465000000000000000e+02,4.141467131343673600e+02,9.264000000000000012e-01
3.475000000000000000e+02,4.153419417437017387e+02,9.016999999999999460e-01
3.485000000000000000e+02,4.165371703530361742e+02,8.971999999999999975e-01
3.495000000000000000e+02,4.177323989623705529e+02,8.898000000000000353e-01
3.505000000000000000e+02,4.189276275717049316e+02,1.050000000000000044e+00
3.515000000000000000e+02,4.201228561810393103e+02,9.795000000000000373e-01
3.525000000000000000e+02,4.213180847903737458e+02,9.079000000000000403e-01
3.535000000000000000e+02,4.225133133997081245e+02,1.032999999999999918e+00
3.545000000000000000e+02,4.237085420090425032e+02,1.110999999999999988e+00
3.555000000000000000e+02,4.249037706183769387e+02,1.044999999999999929e+00
3.565000000000000000e+02,4.260989992277113174e+02,9.122999999999999998e-01
3.575000000000000000e+02,4.272942278370456961e+02,7.960000000000000409e-01
3.585000000000000000e+02,4.284894564463800748e+02,6.935999999999999943e-01
3.595000000000000000e+02,4.296846850557145103e+02,9.910999999999999810e-01
3.605000000000000000e+02,4.308799136650488890e+02,9.707999999999999963e-01
3.615000000000000000e+02,4.320751422743832677e+02,8.780999999999999917e-01
3.625000000000000000e+02,4.332703708837176464e+02,9.978000000000000203e-01
3.635000000000000000e+02,4.344655994930520819e+02,9.969000000000000083e-01
3.645000000000000000e+02,4.356608281023864606e+02,1.012999999999999901e+00
3.655000000000000000e+02,4.368560567117208393e+02,1.151999999999999913e+00
3.665000000000000000e+02,4.380512853210552180e+02,1.233000000000000096e+00
3.675000000000000000e+02,4.392465139303896535e+02,1.179999999999999938e+00
3.685000000000000000e+02,4.404417425397240322e+02,1.100999999999999979e+00
3.695000000000000000e+02,4.416369711490584109e+02,1.225999999999999979e+00
3.705000000000000000e+02,4.428321997583927896e+02,1.139000000000000012e+00
3.715000000000000000e+02,4.440274283677272251e+02,1.175000000000000044e+00
3.725000000000000000e+02,4.452226569770616038e+02,1.054000000000000048e+00
3.735000000000000000e+02,4.464178855863959825e+02,9.202000000000000179e-01
3.745000000000000000e+02,4.476131141957304180e+02,9.003999999999999782e-01
3.755000000000000000e+02,4.488083428050647967e+02,1.062000000000000055e+00
3.765000000000000000e+02,4.500035714143991754e+02,1.084999999999999964e+00
3.775000000000000000e+02,4.511988000237335541e+02,1.282000000000000028e+00
3.785000000000000000e+02,4.523940286330679896e+02,1.326999999999999957e+00
3.795000000000000000e+02,4.535892572424023683e+02,1.066000000000000059e+00
3.805000000000000000e+02,4.547844858517367470e+02,1.201999999999999957e+00
3.815000000000000000e+02,4.559797144610711257e+02,1.082000000000000073e+00
3.825000000000000000e+02,4.571749430704055612e+02,7.913000000000000034e-01
3.835000000000000000e+02,4.583701716797399399e+02,6.841000000000000414e-01
3.845000000000000000e+02,4.595654002890743186e+02,9.596999999999999975e-01
3.855000000000000000e+02,4.607606288984086973e+02,1.008000000000000007e+00
3.865000000000000000e+02,4.619558575077431328e+02,1.006999999999999895e+00
3.875000000000000000e+02,4.631510861170775115e+02,1.004000000000000004e+00
3.885000000000000000e+02,4.643463147264118902e+02,9.842999999999999527e-01
3.895000000000000000e+02,4.655415433357462689e+02,1.173999999999999932e+00
3.905000000000000000e+02,4.667367719450807044e+02,1.247000000000000108e+00
3.915000000000000000e+02,4.679320005544150831e+02,1.342000000000000082e+00
3.925000000000000000e+02,4.691272291637494618e+02,1.018999999999999906e+00
3.935000000000000000e+02,4.703224577730838405e+02,5.823000000000000398e-01
3.945000000000000000e+02,4.715176863824182760e+02,1.026000000000000023e+00
3.955000000000000000e+02,4.727129149917526547e+02,1.314000000000000057e+00
3.965000000000000000e+02,4.739081436010870334e+02,8.545000000000000373e-01
3.975000000000000000e+02,4.751033722104214689e+02,9.287999999999999590e-01
3.985000000000000000e+02,4.762986008197558476e+02,1.522000000000000020e+00
3.995000000000000000e+02,4.774938294290902263e+02,1.663000000000000034e+00
4.005000000000000000e+02,4.786890580384246050e+02,1.681999999999999940e+00
4.015000000000000000e+02,4.798842866477590405e+02,1.745999999999999996e+00
4.025000000000000000e+02,4.810795152570934192e+02,1.758999999999999897e+00
4.035000000000000000e+02,4.822747438664277979e+02,1.683999999999999941e+00
4.045000000000000000e+02,4.834699724757621766e+02,1.673999999999999932e+00
4.055000000000000000e+02,4.846652010850966121e+02,1.667000000000000037e+00
4.065000000000000000e+02,4.858604296944309908e+02,1.588999999999999968e+00
4.075000000000000000e+02,4.870556583037653695e+02,1.627999999999999892e+00
4.085000000000000000e+02,4.882508869130997482e+02,1.735000000000000098e+00
4.095000000000000000e+02,4.894461155224341837e+02,1.715000000000000080e+00
4.105000000000000000e+02,4.906413441317685624e+02,1.532000000000000028e+00
4.115000000000000000e+02,4.918365727411029411e+02,1.816999999999999948e+00
4.125000000000000000e+02,4.930318013504373198e+02,1.788999999999999924e+00
4.135000000000000000e+02,4.942270299597717553e+02,1.756000000000000005e+00
4.145000000000000000e+02,4.954222585691061340e+02,1.737000000000000099e+00
4.155000000000000000e+02,4.966174871784405127e+02,1.733999999999999986e+00
4.165000000000000000e+02,4.978127157877749482e+02,1.842000000000000082e+00
4.175000000000000000e+02,4.990079443971093269e+02,1.665000000000000036e+00
4.185000000000000000e+02,5.002031730064437056e+02,1.683999999999999941e+00
4.195000000000000000e+02,5.013984016157780843e+02,1.701000000000000068e+00
4.205000000000000000e+02,5.025936302251125198e+02,1.756999999999999895e+00
4.215000000000000000e+02,5.037888588344468985e+02,1.796999999999999931e+00
4.225000000000000000e+02,5.049840874437812772e+02,1.582000000000000073e+00
4.235000000000000000e+02,5.061793160531156559e+02,1.711000000000000076e+00
4.245000000000000000e+02,5.073745446624500914e+02,1.766999999999999904e+00
4.255000000000000000e+02,5.085697732717844701e+02,1.695000000000000062e+00
4.265000000000000000e+02,5.097650018811188488e+02,1.697999999999999954e+00
4.275000000000000000e+02,5.109602304904532275e+02,1.568999999999999950e+00
4.285000000000000000e+02,5.121554590997876630e+02,1.586999999999999966e+00
4.295000000000000000e+02,5.133506877091219849e+02,1.475000000000000089e+00
4.305000000000000000e+02,5.145459163184564204e+02,1.135000000000000009e+00
4.315000000000000000e+02,5.157411449277908559e+02,1.685999999999999943e+00
4.325000000000000000e+02,5.169363735371251778e+02,1.645999999999999908e+00
4.335000000000000000e+02,5.181316021464596133e+02,1.731000000000000094e+00
4.345000000000000000e+02,5.193268307557940489e+02,1.669999999999999929e+00
4.355000000000000000e+02,5.205220593651283707e+02,1.723000000000000087e+00
4.365000000000000000e+02,5.217172879744628062e+02,1.929000000000000048e+00
4.375000000000000000e+02,5.229125165837972418e+02,1.806000000000000050e+00
4.385000000000000000e+02,5.241077451931315636e+02,1.566999999999999948e+00
4.395000000000000000e+02,5.253029738024659991e+02,1.824999999999999956e+00
4.405000000000000000e+02,5.264982024118003210e+02,1.713000000000000078e+00
4.415000000000000000e+02,5.276934310211347565e+02,1.931000000000000050e+00
4.425000000000000000e+02,5.288886596304691921e+02,1.979999999999999982e+00
4.435000000000000000e+02,5.300838882398035139e+02,1.909000000000000030e+00
4.445000000000000000e+02,5.312791168491379494e+02,1.973000000000000087e+00
4.455000000000000000e+02,5.324743454584723850e+02,1.820999999999999952e+00
4.465000000000000000e+02,5.336695740678067068e+02,1.891000000000000014e+00
4.475000000000000000e+02,5.348648026771411423e+02,2.076999999999999957e+00
4.485000000000000000e+02,5.360600312864754642e+02,1.973000000000000087e+00
4.495000000000000000e+02,5.372552598958098997e+02,2.027000000000000135e+00
4.505000000000000000e+02,5.384504885051443352e+02,2.144000000000000128e+00
4.515000000000000000e+02,5.396457171144786571e+02,2.108999999999999986e+00
4.525000000000000000e+02,5.408409457238130926e+02,1.941000000000000059e+00
4.535000000000000000e+02,5.420361743331475282e+02,1.969999999999999973e+00
4.545000000000000000e+02,5.432314029424818500e+02,1.979000000000000092e+00
4.555000000000000000e+02,5.444266315518162855e+02,2.033999999999999808e+00
4.565000000000000000e+02,5.456218601611506074e+02,2.076999999999999957e+00
4.575000000000000000e+02,5.468170887704850429e+02,2.100000000000000089e+00
4.585000000000000000e+02,5.480123173798194784e+02,1.971000000000000085e+00
4.595000000000000000e+02,5.492075459891538003e+02,2.008999999999999897e+00
4.605000000000000000e+02,5.504027745984882358e+02,2.040000000000000036e+00
4.615000000000000000e+02,5.515980032078226714e+02,2.055000000000000160e+00
4.625000000000000000e+02,5.527932318171569932e+02,2.104000000000000092e+00
4.635000000000000000e+02,5.539884604264914287e+02,2.040000000000000036e+00
4.645000000000000000e+02,5.551836890358258643e+02,1.975999999999999979e+00
4.655000000000000000e+02,5.563789176451601861e+02,2.041999999999999815e+00
4.665000000000000000e+02,5.575741462544946216e+02,1.921000000000000041e+00
4.675000000000000000e+02,5.587693748638289435e+02,2.015000000000000124e+00
4.685000000000000000e+02,5.599646034731633790e+02,1.993999999999999995e+00
4.695000000000000000e+02,5.611598320824978146e+02,1.989999999999999991e+00
4.705000000000000000e+02,5.623550606918321364e+02,1.877000000000000002e+00
4.715000000000000000e+02,5.635502893011665719e+02,2.017999999999999794e+00
4.725000000000000000e+02,5.647455179105010075e+02,2.040999999999999925e+00
4.735000000000000000e+02,5.659407465198353293e+02,1.991000000000000103e+00
4.745000000000000000e+02,5.671359751291697648e+02,2.051000000000000156e+00
4.755000000000000000e+02,5.683312037385040867e+02,2.016000000000000014e+00
4.765000000000000000e+02,5.695264323478385222e+02,1.955999999999999961e+00
4.775000000000000000e+02,5.707216609571729578e+02,2.075000000000000178e+00
4.785000000000000000e+02,5.719168895665072796e+02,2.008999999999999897e+00
4.795000000000000000e+02,5.731121181758417151e+02,2.076000000000000068e+00
4.805000000000000000e+02,5.743073467851761507e+02,2.035000000000000142e+00
4.815000000000000000e+02,5.755025753945104725e+02,2.089999999999999858e+00
4.825000000000000000e+02,5.766978040038449080e+02,2.023000000000000131e+00
4.835000000000000000e+02,5.778930326131793436e+02,2.019000000000000128e+00
4.845000000000000000e+02,5.790882612225136654e+02,1.969000000000000083e+00
4.855000000000000000e+02,5.802834898318481009e+02,1.830000000000000071e+00
4.865000000000000000e+02,5.814787184411824228e+02,1.625000000000000000e+00
4.875000000000000000e+02,5.826739470505168583e+02,1.830000000000000071e+00
4.885000000000000000e+02,5.838691756598512939e+02,1.913999999999999924e+00
4.895000000000000000e+02,5.850644042691856157e+02,1.959999999999999964e+00
4.905000000000000000e+02,5.862596328785200512e+02,2.007000000000000117e+00
4.915000000000000000e+02,5.874548614878544868e+02,1.895999999999999908e+00
4.925000000000000000e+02,5.886500900971888086e+02,1.895999999999999908e+00
4.935000000000000000e+02,5.898453187065232441e+02,1.887999999999999901e+00
4.945000000000000000e+02,5.910405473158575660e+02,2.057999999999999829e+00
4.955000000000000000e+02,5.922357759251920015e+02,1.925999999999999934e+00
4.965000000000000000e+02,5.934310045345264371e+02,2.016999999999999904e+00
4.975000000000000000e+02,5.946262331438607589e+02,2.017999999999999794e+00
4.985000000000000000e+02,5.958214617531951944e+02,1.866000000000000103e+00
4.995000000000000000e+02,5.970166903625296300e+02,1.969999999999999973e+00
5.005000000000000000e+02,5.982119189718639518e+02,1.856999999999999984e+00
5.015000000000000000e+02,5.994071475811983873e+02,1.812000000000000055e+00
5.025000000000000000e+02,6.006023761905328229e+02,1.893999999999999906e+00
5.035000000000000000e+02,6.017976047998671447e+02,1.933999999999999941e+00
5.045000000000000000e+02,6.029928334092015803e+02,1.868999999999999995e+00
