  51 PSZ2 G017.72-51.40  17.7262023 -51.4041786 328.7492675 -30.1324674  2.428909  4.53554  0.000000  32.62096 0.000000 0.008601
  53 PSZ2 G018.18-60.00  18.1716319 -60.0152752 338.7227055 -30.5490342  2.428765  6.07462  0.000000  13.93917 0.000000 0.005535
  54 PSZ2 G018.32-28.50  18.3149432 -28.5257310 303.7164625 -24.5246955  2.428800  8.02958  0.000000  12.95423 0.000000 0.007094
  55 PSZ2 G018.54-25.69  18.5408764 -25.6919135 300.8655664 -23.3915128  2.427806 11.34157  0.000000  10.08880 0.000289 0.006855
  57 PSZ2 G018.73+23.56  18.7317467  23.5570019 255.5818407  -1.0250648  2.428843  6.60481  0.000000  38.74337 0.000000 0.038819
  59 PSZ2 G018.76-61.65  18.7618953 -61.6573028 340.6369626 -30.3150463  2.428301  5.03814  0.000000  15.66794 0.000000 0.005069
  60 PSZ2 G018.84+22.43  18.8459195  22.4111975 256.6242470  -1.5127567  2.428909  5.86998  0.000000  36.50621 0.000000 0.027272
  61 PSZ2 G018.92-33.64  18.9254431 -33.6488761 309.2781317 -25.5929829  2.428256  4.77180  0.000000  25.00995 0.000000 0.008199
  63 PSZ2 G019.48-80.97  19.4106110 -80.9658280   2.8181783 -28.8816215  2.428376  8.13044  0.000000  34.46848 0.000000 0.017414
  66 PSZ2 G020.49-47.35  20.4872570 -47.3498604 324.4893958 -27.7308845  2.428883  4.57164  0.000000  22.97054 0.000000 0.006118
  69 PSZ2 G021.08+38.00  21.0760522  38.0020816 243.9813329   7.8547513  2.428880  5.29041  0.000000   8.25610 0.000000 0.004583
  70 PSZ2 G021.10+33.24  21.1122893  33.2224404 248.2173548   5.5853491  2.428846 15.11011  0.000000  15.20532 0.002369 0.014543
  71 PSZ2 G021.36-43.02  21.3953266 -43.0072059 319.8823208 -26.1793221  2.428345  5.37669  0.000000  12.80251 0.000000 0.004806
  72 PSZ2 G022.03+17.75  22.0308562  17.7541081 262.1523015  -1.2175534  2.428897  6.20045  0.000000  18.39659 0.000000 0.010209
  73 PSZ2 G022.12-38.81  22.1232382 -38.8132279 315.5511138 -24.5728726  2.428711  5.06137  0.000000  11.83321 0.000000 0.004211
  74 PSZ2 G022.98+19.49  22.9864987  19.4921382 261.0687148   0.4154682  2.428814  5.19207  0.000000   7.85923 0.000000 0.004620
  75 PSZ2 G023.05+20.52  23.0556252  20.5236967 260.1954405   0.9684972  2.428612  5.57412  0.000000   7.76892 0.000000 0.004520
  76 PSZ2 G023.17+86.71  22.8700633  86.7224062 196.4662527  26.5096107  2.428724  5.16364  0.000000  46.87475 0.000000 0.032172
  79 PSZ2 G024.44+22.76  24.4322542  22.7773284 258.8227620   3.1671601  2.428902  5.07005  0.000000  18.18112 0.000000 0.008306
  81 PSZ2 G025.02-41.49  25.0209063 -41.4911738 319.0394079 -23.1940252  2.428835  6.42499  0.000000   7.41313 0.000057 0.003947
  82 PSZ2 G025.07-78.64  25.1132200 -78.6433380   0.0836079 -28.0925378  2.428334  5.54105  0.000000  25.81941 0.000000 0.008689
  83 PSZ2 G025.13-75.88  25.1803273 -75.8911932 356.9635434 -28.1310801  2.428907  7.65452  0.000000  43.54843 0.000000 0.024898
  85 PSZ2 G026.09-25.62  26.0905687 -25.6250294 303.4277679 -17.0251996  2.428387  4.64855  0.000000  22.25039 0.000000 0.007356
  87 PSZ2 G026.73-38.94  26.7408344 -38.9610556 316.8573820 -21.1831788  2.428775  8.05158  0.000000  20.34655 0.000000 0.011938
  92 PSZ2 G027.77-49.72  27.7781386 -49.7275746 328.2464403 -23.5522864  2.428835  4.59963  0.000000  11.16106 0.000000 0.003877
  93 PSZ2 G027.81-45.93  27.8125965 -45.9392274 324.2875033 -22.5132554  2.428312  5.24201  0.000000  46.32574 0.000000 0.017437
  96 PSZ2 G028.05+25.43  28.0564397  25.4338135 257.9835873   7.3263574  2.427806  7.70265  0.000000  15.20532 0.000000 0.010431
  98 PSZ2 G028.15-08.62  28.1585667  -8.6247124 288.4216367  -8.1405854  2.428712  7.66655  0.000000   5.86748 0.000347 0.005209
  99 PSZ2 G028.63+50.15  28.6396593  50.1504143 235.0415055  17.9020051  2.428899  6.72125  0.000000  22.86998 0.000000 0.014158
 100 PSZ2 G028.77-33.56  28.7602649 -33.5755601 312.0677425 -17.8253065  2.427587  8.16899  0.000000  25.70639 0.000000 0.011557
 101 PSZ2 G028.89+60.13  28.8796423  60.1445422 225.0799679  21.3558175  2.428123  7.51396  0.000000  20.34655 0.000000 0.011044
 102 PSZ2 G029.06+44.55  29.0752691  44.5444802 240.5988269  16.0927066  2.428427 13.32053 13.449224  48.60346 0.005196 0.065435
 104 PSZ2 G029.66-47.63  29.6689192 -47.6350624 326.4342608 -21.7802240  2.427652  5.74469  0.000000   7.76892 0.000000 0.003529
 105 PSZ2 G029.80-17.40  29.8035954 -17.4010584 297.1337388 -10.5277573  2.428883  9.00660  0.000000  30.66528 0.000000 0.023530
