#    5   57  Pure-hydrogen grid                             Fri Aug 21 10:44:45 2020
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      Ks     Y      J      H      K      W1     W2     W3     W4    S3.6   S4.5   S5.8   S8.0    u      g      r      i      z      g      r      i      z      y      G     G_BP   G_RP   FUV    NUV      Age
  8000. 7.0  0.204 11.461 -0.200 11.359 11.925 11.661 11.497 11.310 11.192 11.055 11.069 11.285 11.163 11.032 11.043 11.051 11.061 11.066 11.052 11.053 11.061 11.066 11.068 12.198 11.728 11.650 11.696 11.798 11.700 11.650 11.699 11.780 11.855 11.579 11.677 11.345 18.042 13.308 2.683E+08
  8500. 7.0  0.208 11.179 -0.222 11.089 11.635 11.401 11.273 11.124 11.057 10.954 10.977 11.128 11.030 10.931 10.951 10.963 10.976 10.982 10.971 10.966 10.976 10.981 10.984 11.932 11.446 11.419 11.498 11.627 11.423 11.420 11.501 11.605 11.694 11.341 11.414 11.150 16.828 12.833 2.050E+08
  9000. 7.0  0.211 10.912 -0.244 10.849 11.367 11.156 11.063 10.951 10.930 10.861 10.891 10.981 10.906 10.836 10.864 10.879 10.893 10.901 10.893 10.882 10.894 10.899 10.902 11.696 11.183 11.203 11.312 11.469 11.162 11.203 11.317 11.444 11.545 11.116 11.167 10.969 15.839 12.424 1.527E+08
  9500. 7.0  0.215 10.659 -0.269 10.632 11.119 10.929 10.870 10.793 10.814 10.776 10.810 10.846 10.793 10.750 10.783 10.798 10.813 10.823 10.819 10.801 10.814 10.818 10.822 11.483 10.939 11.003 11.142 11.325 10.921 11.003 11.147 11.297 11.409 10.908 10.939 10.802 14.952 12.060 1.098E+08
 10000. 7.0  0.218 10.421 -0.308 10.438 10.899 10.729 10.701 10.658 10.714 10.702 10.738 10.730 10.694 10.676 10.711 10.724 10.738 10.750 10.750 10.727 10.739 10.743 10.748 11.291 10.724 10.828 10.996 11.202 10.708 10.828 11.002 11.172 11.292 10.725 10.738 10.659 13.940 11.738 7.746E+07
 10500. 7.0  0.221 10.194 -0.373 10.270 10.717 10.567 10.566 10.552 10.634 10.641 10.677 10.637 10.616 10.614 10.650 10.661 10.674 10.689 10.692 10.664 10.676 10.680 10.685 11.125 10.547 10.688 10.880 11.105 10.534 10.689 10.887 11.074 11.200 10.577 10.573 10.545 12.951 11.459 5.721E+07
 11000. 7.0  0.224  9.980 -0.467 10.136 10.577 10.447 10.467 10.474 10.575 10.592 10.628 10.569 10.557 10.565 10.601 10.611 10.624 10.639 10.646 10.613 10.625 10.629 10.635 10.992 10.411 10.585 10.797 11.033 10.401 10.586 10.804 11.001 11.131 10.465 10.448 10.462 12.113 11.229 4.453E+07
 11500. 7.0  0.226  9.775 -0.581 10.025 10.467 10.356 10.393 10.414 10.527 10.549 10.585 10.515 10.509 10.522 10.558 10.568 10.580 10.598 10.605 10.570 10.581 10.586 10.592 10.881 10.306 10.507 10.733 10.976 10.299 10.508 10.740 10.944 11.076 10.379 10.350 10.398 11.495 11.040 3.517E+07
 12000. 7.0  0.228  9.579 -0.687  9.902 10.354 10.265 10.315 10.349 10.474 10.502 10.539 10.457 10.456 10.475 10.512 10.524 10.537 10.557 10.566 10.526 10.538 10.544 10.551 10.757 10.201 10.426 10.664 10.914 10.196 10.427 10.672 10.881 11.016 10.289 10.251 10.329 11.103 10.852 2.796E+07
 12500. 7.0  0.231  9.390 -0.787  9.768 10.244 10.177 10.234 10.280 10.418 10.452 10.491 10.396 10.401 10.425 10.465 10.479 10.494 10.515 10.525 10.482 10.495 10.501 10.509 10.624 10.097 10.344 10.592 10.848 10.097 10.345 10.600 10.814 10.952 10.200 10.151 10.256 10.811 10.670 2.206E+07
 13000. 7.0  0.233  9.208 -0.885  9.636 10.141 10.094 10.158 10.212 10.363 10.402 10.444 10.335 10.346 10.375 10.417 10.435 10.451 10.474 10.485 10.438 10.452 10.459 10.467 10.492 10.001 10.265 10.522 10.783 10.004 10.267 10.530 10.749 10.889 10.115 10.057 10.185 10.566 10.495 1.713E+07
 13500. 7.0  0.236  9.034 -0.982  9.508 10.043 10.016 10.085 10.147 10.310 10.353 10.398 10.277 10.292 10.326 10.371 10.391 10.409 10.434 10.446 10.395 10.409 10.417 10.427 10.364  9.911 10.191 10.455 10.721  9.917 10.192 10.463 10.686 10.829 10.034  9.968 10.117 10.347 10.329 1.304E+07
 14000. 7.0  0.238  8.866 -1.077  9.386  9.952  9.943 10.016 10.085 10.259 10.306 10.353 10.222 10.241 10.279 10.327 10.350 10.368 10.395 10.408 10.353 10.369 10.377 10.387 10.241  9.826 10.120 10.391 10.661  9.835 10.122 10.399 10.625 10.771  9.958  9.884 10.052 10.146 10.170 9.767E+06
 14500. 7.0  0.240  8.704 -1.169  9.269  9.867  9.873  9.950 10.025 10.210 10.261 10.310 10.169 10.192 10.233 10.284 10.309 10.329 10.358 10.371 10.313 10.329 10.339 10.349 10.123  9.747 10.053 10.330 10.603  9.758 10.055 10.338 10.567 10.715  9.886  9.804  9.990  9.959 10.019 7.313E+06
 15000. 7.0  0.242  8.548 -1.259  9.158  9.786  9.807  9.887  9.968 10.162 10.217 10.268 10.118 10.145 10.189 10.242 10.270 10.291 10.321 10.336 10.274 10.291 10.301 10.312 10.011  9.671  9.989 10.271 10.548  9.685  9.991 10.279 10.511 10.662  9.817  9.728  9.931  9.783  9.875 5.539E+06
 15500. 7.0  0.243  8.398 -1.346  9.051  9.709  9.744  9.827  9.913 10.117 10.174 10.228 10.070 10.099 10.146 10.202 10.232 10.254 10.286 10.302 10.237 10.254 10.265 10.277  9.904  9.600  9.927 10.214 10.495  9.616  9.930 10.223 10.457 10.610  9.751  9.656  9.873  9.616  9.737 4.259E+06
 16000. 7.0  0.245  8.253 -1.430  8.949  9.636  9.682  9.769  9.860 10.072 10.133 10.189 10.022 10.055 10.105 10.163 10.196 10.218 10.252 10.269 10.200 10.218 10.230 10.242  9.802  9.531  9.868 10.160 10.443  9.549  9.871 10.168 10.405 10.561  9.687  9.586  9.818  9.457  9.605 3.330E+06
 16500. 7.0  0.247  8.112 -1.511  8.852  9.565  9.623  9.713  9.808 10.029 10.092 10.150  9.977 10.011 10.065 10.125 10.160 10.184 10.219 10.237 10.165 10.183 10.196 10.209  9.703  9.465  9.811 10.107 10.393  9.485  9.814 10.116 10.355 10.513  9.626  9.519  9.765  9.306  9.479 2.647E+06
 17000. 7.0  0.248  7.975 -1.591  8.758  9.498  9.566  9.658  9.758  9.987 10.053 10.113  9.932  9.970 10.025 10.088 10.125 10.150 10.187 10.206 10.130 10.149 10.162 10.176  9.609  9.401  9.756 10.055 10.345  9.423  9.758 10.064 10.306 10.466  9.567  9.454  9.713  9.161  9.358 2.139E+06
 20000. 7.0  0.257  7.232 -2.021  8.261  9.132  9.253  9.360  9.482  9.755  9.834  9.905  9.687  9.737  9.805  9.881  9.930  9.960 10.010 10.039  9.936  9.959  9.977  9.995  9.109  9.056  9.453  9.773 10.078  9.087  9.456  9.782 10.036 10.209  9.244  9.100  9.429  8.401  8.722 8.290E+05
